,cast,eng_title,other,rating,title
0,"[' Frank Darabont', ' Tim Robbins']",The Shawshank Redemption,"['弗兰克·德拉邦特', '蒂姆·罗宾斯', '美国', '犯罪']",9.7,肖申克的救赎
1,"[' Kaige Chen', ' Leslie Cheung', ' Fengyi']",再见，我的妾  /  Farewell My Concubine,"['陈凯歌', '张国荣', '张丰毅', '中国大陆', '中国香港', '剧情', '爱情']",9.6,霸王别姬
2,"[' Robert Zemeckis', ' Tom Hanks']",Forrest Gump,"['罗伯特·泽米吉斯', '汤姆·汉克斯', '美国', '剧情']",9.5,阿甘正传
3,"[' Luc Besson', ' Jean Reno']",Léon,"['吕克·贝松', '让·雷诺', '娜塔莉·波特曼', '法国', '剧情', '动作']",9.4,这个杀手不太冷
4,"[' Roberto Benigni', ' Roberto']",La vita è bella,"['罗伯托·贝尼尼', '罗伯托·贝尼尼', '意大利', '剧情', '喜剧', '爱情']",9.5,美丽人生
5,[' James Cameron'],Titanic,"['詹姆斯·卡梅隆', '莱昂纳多·迪卡普里奥', '美国', '剧情', '爱情']",9.4,泰坦尼克号
6,"[' Hayao Miyazaki', ' Rumi']",千と千尋の神隠し,"['宫崎骏', '柊瑠美', '入野自由', '日本', '剧情', '动画']",9.3,千与千寻
7,"[' Steven Spielberg', ' Liam']",Schindler's List,"['史蒂文·斯皮尔伯格', '连姆·尼森', '美国', '剧情', '历史']",9.5,辛德勒的名单
8,[' Christopher Nolan'],Inception,"['克里斯托弗·诺兰', '莱昂纳多·迪卡普里奥', '美国', '英国', '剧情', '科幻', '悬疑']",9.3,盗梦空间
9,"[' Lasse', ' Richard']",Hachi: A Dog's Tale,"['莱塞·霍尔斯道姆', '理查·基尔', '美国', '英国']",9.3,忠犬八公的故事
10,"[' Andrew Stanton', ' Ben Burtt']",WALL·E,"['安德鲁·斯坦顿', '本·贝尔特', '美国', '爱情', '科幻', '动画']",9.3,机器人总动员
11,"[' Rajkumar Hirani', ' Aamir Khan']",3 Idiots,"['拉库马·希拉尼', '阿米尔·汗', '印度', '剧情', '喜剧', '爱情']",9.2,三傻大闹宝莱坞
12,[' Christophe Barratier'],Les choristes,"['克里斯托夫·巴拉蒂', '热拉尔·朱尼奥', '法国', '瑞士', '德国', '剧情']",9.3,放牛班的春天
13,"[' Giuseppe Tornatore', ' Tim Roth']",La leggenda del pianista sull'oceano,"['朱塞佩·托纳多雷', '蒂姆·罗斯', '意大利', '剧情']",9.2,海上钢琴师
14,"[' Peter Weir', ' Jim Carrey']",The Truman Show,"['彼得·威尔', '金·凯瑞', '劳拉·琳妮', '美国', '剧情']",9.2,楚门的世界
15,"[' Christopher Nolan', ' Matthew']",Interstellar,"['克里斯托弗·诺兰', '马修·麦康纳', '美国', '英国', '加拿大', '冰岛', '剧情', '科幻']",9.3,星际穿越
16,"[' Jeffrey Lau', ' Stephen Chow', ' Man Tat']",西遊記大結局之仙履奇緣,"['刘镇伟', '周星驰', '吴孟达', '中国香港', '中国大陆', '喜剧', '爱情', '奇幻']",9.2,大话西游之大圣娶亲
17,"[' Hayao Miyazaki', ' Noriko Hidaka']",となりのトトロ,"['宫崎骏', '日高法子', '坂本千夏', '日本', '动画', '奇幻']",9.2,龙猫
18,"['hyuk Hwang', ' Yoo Gong', 'mi Jeong']",도가니,"['黄东赫', '孔侑', '郑有美', '韩国']",9.3,熔炉
19,[' Francis Ford Coppola'],The Godfather,"['弗朗西斯·福特·科波拉', '马龙·白兰度', '美国', '剧情']",9.3,教父
20,[],無間道,"['刘伟强', '麦兆辉', '刘德华', '梁朝伟', '黄秋生', '中国香港', '剧情', '犯罪']",9.2,无间道
21,"[' Byron Howard', ' Rich Moore']",Zootopia,"['拜伦·霍华德', '瑞奇·摩尔', '美国', '喜剧', '动画']",9.2,疯狂动物城
22,"[' Gabriele Muccino', ' Will Smith']",The Pursuit of Happyness,"['加布里尔·穆奇诺', '威尔·史密斯', '美国', '剧情', '传记']",9.1,当幸福来敲门
23,"[' Rob Reiner', ' Madeline Carroll']",Flipped,"['罗伯·莱纳', '玛德琳·卡罗尔', '美国', '剧情', '喜剧']",9.0,怦然心动
24,"[' Olivier Nakache', ' Eric Toledano']",Intouchables,"['奥利维·那卡什', '艾力克·托兰达', '法国', '剧情']",9.2,触不可及
25,[' Christopher Nolan'],The Dark Knight,"['克里斯托弗·诺兰', '克里斯蒂安·贝尔', '美国', '英国', '剧情', '动作', '科幻', '犯罪']",9.1,蝙蝠侠：黑暗骑士
26,"[' Victor Fleming', ' George Cukor']",Gone with the Wind,"['维克多·弗莱明', '乔治·库克', '美国', '剧情', '历史', '爱情']",9.3,乱世佳人
27,"[' Yimou Zhang', ' You Ge', ' Li Gong', ' Wu Jiang']",人生  /  Lifetimes,"['张艺谋', '葛优', '巩俐', '姜武', '中国大陆', '中国香港', '剧情', '历史']",9.2,活着
28,"[' Billy Wilder', ' Tyrone Power']",Witness for the Prosecution,"['比利·怀尔德', '泰隆·鲍华', '美国', '剧情', '犯罪']",9.6,控方证人
29,"[' Ang Lee', ' Suraj Sharma']",Life of Pi,"['李安', '苏拉·沙玛', '伊尔凡·可汗', '美国', '中国台湾', '英国', '加拿大', '剧情', '奇幻']",9.0,少年派的奇幻漂流
30,"[' Nitesh Tiwari', ' Aamir Khan']",Dangal,"['涅提·蒂瓦里', '阿米尔·汗', '印度', '剧情', '传记', '运动']",9.0,摔跤吧！爸爸
31,"[' Peter Jackson', ' Viggo Mortensen']",The Lord of the Rings: The Return of the King,"['彼得·杰克逊', '维果·莫腾森', '美国', '新西兰', '剧情', '动作', '奇幻']",9.2,指环王3：王者无敌
32,"[' Hayao Miyazaki', ' Mayumi Tanaka']",天空の城ラピュタ,"['宫崎骏', '田中真弓', '横泽启子', '日本', '动画', '奇幻']",9.1,天空之城
33,"[' Wen Jiang', ' Wen Jiang', ' Teruyuki Kagawa']",Devils on the Doorstep,"['姜文', '姜文', '香川照之', '中国大陆', '剧情', '历史']",9.2,鬼子来了
